"","Drug","Gene","ICD","gene_ICD_ref","drug_gene_ref"
"754","GLIPIZIDE","PPARA","PSORIASIS","Pmcoa_3351437,Medline_22606335,Patent_EP1646383A1,Patent_EP2793876A1,Patent_US20070099969,Patent_US20130158077,Patent_US20150133507,Patent_US20170065571,Patent_US20130172391,Patent_US7339065,Patent_US9504679,Patent_WO2005009437A1,Patent_WO2013092269A1,Pmcoa_4884357","Patent_US8545847,Patent_US9587029,Patent_US20130344538,Patent_US20140255419,Patent_EP2643355A2,Patent_EP3194441A1,Patent_US8771696,Patent_US20150337045,Patent_US20160257757,Patent_US9127068,Patent_WO2012071372A2,Patent_US20160075778,Patent_US20130251728,Patent_US20170129960,Patent_US20170037124,Patent_US20120128679,Patent_US9657099,Patent_US20170218065,Patent_US9358287,Patent_WO2016044337A1,Patent_WO2017027316A1"
"755","(R)-2-METHYLBUTANOIC ACID","PPARA","PSORIASIS","Pmcoa_3351437,Medline_22606335,Patent_EP1646383A1,Patent_EP2793876A1,Patent_US20070099969,Patent_US20130158077,Patent_US20150133507,Patent_US20170065571,Patent_US20130172391,Patent_US7339065,Patent_US9504679,Patent_WO2005009437A1,Patent_WO2013092269A1,Pmcoa_4884357","Patent_EP1392674A1,Patent_EP1392674B1,Patent_EP1244642B1,Patent_EP1244642A1,Patent_US20040077659,Patent_US20070072871,Patent_WO2002067912A2"
"756","TESAGLITAZAR","PPARA","PSORIASIS","Pmcoa_3351437,Medline_22606335,Patent_EP1646383A1,Patent_EP2793876A1,Patent_US20070099969,Patent_US20130158077,Patent_US20150133507,Patent_US20170065571,Patent_US20130172391,Patent_US7339065,Patent_US9504679,Patent_WO2005009437A1,Patent_WO2013092269A1,Pmcoa_4884357","Medline_28853334,Pmcoa_3826326,Pmcoa_6093334,Medline_12401884,Medline_16183630"
"757","BENZBROMARONE","PPARA","PSORIASIS","Pmcoa_3351437,Medline_22606335,Patent_EP1646383A1,Patent_EP2793876A1,Patent_US20070099969,Patent_US20130158077,Patent_US20150133507,Patent_US20170065571,Patent_US20130172391,Patent_US7339065,Patent_US9504679,Patent_WO2005009437A1,Patent_WO2013092269A1,Pmcoa_4884357","Pmcoa_4331523,Pmcoa_4236689"
"758","ISOBUTYRIC ACID","PPARA","PSORIASIS","Pmcoa_3351437,Medline_22606335,Patent_EP1646383A1,Patent_EP2793876A1,Patent_US20070099969,Patent_US20130158077,Patent_US20150133507,Patent_US20170065571,Patent_US20130172391,Patent_US7339065,Patent_US9504679,Patent_WO2005009437A1,Patent_WO2013092269A1,Pmcoa_4884357","Pmcoa_3828319,Medline_24244369"
"759","BENZOFURAN","PPARA","PSORIASIS","Pmcoa_3351437,Medline_22606335,Patent_EP1646383A1,Patent_EP2793876A1,Patent_US20070099969,Patent_US20130158077,Patent_US20150133507,Patent_US20170065571,Patent_US20130172391,Patent_US7339065,Patent_US9504679,Patent_WO2005009437A1,Patent_WO2013092269A1,Pmcoa_4884357","Pmcoa_4331523,Medline_25689681"
"760","NCX 4016","PPARD","PSORIASIS","Medline_17637826,Patent_EP2212442A1,Patent_US20100233718,Patent_WO2009053493A1,Pmcoa_2992403","Pmcoa_2408682,Medline_16141240,Pmcoa_5601172"
"761","REGRAMOSTIM","PPARD","PSORIASIS","Medline_17637826,Patent_EP2212442A1,Patent_US20100233718,Patent_WO2009053493A1,Pmcoa_2992403","Pmcoa_5704314,Medline_29201186"
"762","SDZ NIM 811","PPIA","AGE RELATED OSTEOPOROSIS","Medline_26932182,Pmcoa_4774113","Medline_7884893,Medline_8709190"
"763","ALISPORIVIR","PPIA","AGE RELATED OSTEOPOROSIS","Medline_26932182,Pmcoa_4774113","Pmcoa_3705307,Pmcoa_2965138,Pmcoa_6095993,Pmcoa_6116047,Pmcoa_6021681,Medline_21060866,Pmcoa_3749965,Pmcoa_3201949,Pmcoa_4345833,Pmcoa_3691696,Patent_US09603895,Patent_US20100196316,Patent_US20110008284,Patent_US20110008286A1,Patent_US8367053,Patent_US8623814,Patent_US8906853,Patent_US9156886,Patent_US9616099,Patent_US07696165,Patent_US09669095,Patent_US20070232532A1,Patent_US9221878,Patent_US08349312,Patent_US20110008285A1,Patent_US08685917,Patent_US20110008284A1,Patent_US20140154208A1,Patent_US20160130304,Patent_US20110008286,Patent_US7696166,Patent_US20140154208,Patent_US20160130304A1,Patent_EP3038626A1,Patent_US20160136233,Patent_US9603895,Patent_US07696166,Patent_US20100209390,Patent_US20150056165,Patent_US8685917,Patent_US08367053,Patent_US08623814,Patent_US08906853,Patent_US09616099,Patent_US20070232532,Patent_US20160136233A1,Patent_US20110008285,Patent_US7696165,Patent_US9669095,Patent_US8349312,Patent_US8481483,Pmcoa_4246218,Pmcoa_3278987,Patent_US20160052972,Pmcoa_2653016,Medline_18212100,Medline_24687498,Medline_19857522"
"764","UNII-WSU5343074","PPIA","AGE RELATED OSTEOPOROSIS","Medline_26932182,Pmcoa_4774113","Pmcoa_3185723,Medline_22585215,Pmcoa_3185663,Medline_19933795,Patent_US20160052972"
"765","L-HOMOCYSTEINE","PPP2R4","SCLERODERMA","Pmcoa_3008687,Medline_21134273","Medline_26569399,Pmcoa_4646675"
"766","PERPHENAZINE","PPP2R4","SCLERODERMA","Pmcoa_3008687,Medline_21134273","Pmcoa_5053930,Medline_24596208,Patent_WO2017027571A1,Pmcoa_4854653,Pmcoa_4313608"
"767","AMPICILLIN SODIUM","PRDX2","ARTHRITIS","Pmcoa_3218887,Patent_EP2708534A1,Patent_EP2708534B1,Patent_US20140148600,Patent_US9216962","Patent_EP1824965A1,Patent_US20090130064,Patent_EP1824965B1,Patent_WO2006045331A1"
"768","TUNGSTEN-MOLYBDOPTERIN","PRDX2","ARTHRITIS","Pmcoa_3218887,Patent_EP2708534A1,Patent_EP2708534B1,Patent_US20140148600,Patent_US9216962","Patent_EP1663301A1,Patent_WO2005025612A1"
"769","TETRAHYDROPYRAN","PRINS","PSORIASIS","Patent_EP2595664A2,Patent_US20130225659,Patent_WO2012012467A2,Pmcoa_4698731,Pmcoa_4893059","Medline_25303120,Medline_10810711"
"770","EK 102","PRKAA1","ASEPTIC NECROSIS OF BONE","Pmcoa_5025189,Medline_24080159,Pmcoa_5356877","Pmcoa_5537865,Pmcoa_3698477"
"771","ACID PYRUVATE","PRKAA1","ASEPTIC NECROSIS OF BONE","Pmcoa_5025189,Medline_24080159,Pmcoa_5356877","Pmcoa_4048468,Pmcoa_5628355"
"772","MILTEFOSINE","PRKAA1","ASEPTIC NECROSIS OF BONE","Pmcoa_5025189,Medline_24080159,Pmcoa_5356877","Medline_27681040,Pmcoa_5040442"
"773","VIDARABINE","PRKAA1","ASEPTIC NECROSIS OF BONE","Pmcoa_5025189,Medline_24080159,Pmcoa_5356877","Medline_19305424,Pmcoa_4002281,Medline_26686692,Medline_11287349,Medline_29249772,Pmcoa_5706907,Pmcoa_3742461"
"774","(2E)-1-[2-HYDROXY-4-METHOXY-5-(3-METHYLBUT-2-EN-1-YL)PHENYL]-3-(4-HYDROXYPHENYL)PROP-2-EN-1-ONE","PRKAB1","ARTHRITIS","Pmcoa_4608670,Medline_26474486,Pmcoa_5220236","Pmcoa_5689677,Medline_25766656"
"775","DECARBOXYLATED DERIVATIVE","PRKCA","PSORIASIS","Patent_EP2523677A2,Patent_WO2011083482A2,Patent_WO2011083483A2,Patent_WO2011083481A2,Medline_7547380,Patent_US20130296250,Patent_EP3247382A1,Patent_WO2016116948A1,Patent_EP2536421A2","Patent_EP3067051A1,Patent_US20120213835"
"776","COLCHINEOS","PSMB8","SJOGREN'S SYNDROME","Patent_WO2017156471A1,Medline_16646031,Patent_WO2015195950A1,Patent_EP3157909A1,Patent_WO2014075098A1","Patent_EP2118269A2,Patent_WO2008083233A2"
"777","BUTYRIC ACID METHYL ESTER","PSS","SJOGREN'S SYNDROME","Medline_2244254,Pmcoa_4286932","Patent_US8058387,Patent_EP2075274B1,Patent_US20090171048,Patent_EP2075274A1,Patent_US7754847,Patent_US20090299029"
"778","CHEMBL3286797","PTGER2","ARTHRITIS","Medline_16446378,Patent_US20150323528,Pmcoa_2118213,Patent_US9526782,Pmcoa_3859365,Patent_WO2017085198A1,Patent_WO2010009403A2,Pmcoa_3335257","Medline_27108790,Medline_27973680,Medline_29259703,Pmcoa_5467903,Pmcoa_5852398,Medline_25003710,Medline_28963072,Pmcoa_5725845"
"779","UNOPROSTONE","PTGER2","ARTHRITIS","Medline_16446378,Patent_US20150323528,Pmcoa_2118213,Patent_US9526782,Pmcoa_3859365,Patent_WO2017085198A1,Patent_WO2010009403A2,Pmcoa_3335257","Patent_WO2011127064A2,Patent_EP2555749B1,Patent_US20130017243,Patent_US20160256382,Patent_US20150104491,Patent_EP2555749A2"
"780","TREPROSTINIL","PTGER2","ARTHRITIS","Medline_16446378,Patent_US20150323528,Pmcoa_2118213,Patent_US9526782,Pmcoa_3859365,Patent_WO2017085198A1,Patent_WO2010009403A2,Pmcoa_3335257","Pmcoa_4718210,Pmcoa_5650667"
"781","4-nitrophenyl phosphate","PTPN2","CROHN'S DISEASE","Medline_20736230,Medline_19818778,Medline_22457781,Pmcoa_3310077,Pmcoa_4689782,Medline_20403149,Pmcoa_3826479","Medline_20380650,Pmcoa_3663405"
"782","REPAGLINIDE","PYCARD","ARTHRITIS","Medline_19717512,Pmcoa_5564741,Medline_26210906,Pmcoa_4515315","Patent_WO2007054778A1,Patent_EP1948661A1"
"783","NATEGLINIDE","PYCARD","ARTHRITIS","Medline_19717512,Pmcoa_5564741,Medline_26210906,Pmcoa_4515315","Patent_WO2007054778A1,Patent_EP1948661A1"
"784","DEHYDROASCORBATE","PYCARD","ARTHRITIS","Medline_19717512,Pmcoa_5564741,Medline_26210906,Pmcoa_4515315","Pmcoa_3597500,Medline_20541006"
"785","PTP1B INHIBITOR","RAC1","PSORIASIS","Patent_WO2017201448A1,Patent_US20170182040,Medline_15878283","Pmcoa_4823726,Medline_27052191"
"786","OXIPURINOL","RAC1","PSORIASIS","Patent_WO2017201448A1,Patent_US20170182040,Medline_15878283","Pmcoa_4264157,Medline_25375191"
"787","CS 500","RAC1","PSORIASIS","Patent_WO2017201448A1,Patent_US20170182040,Medline_15878283","Medline_11856170,Pmcoa_2364699"
"788","INDENYL RADICAL","RAC1","PSORIASIS","Patent_WO2017201448A1,Patent_US20170182040,Medline_15878283","Patent_US7223828,Patent_US20040110911,Patent_US7439312,Patent_US7339018"
"789","ABT 888","RAD51","LYME DISEASE","Pmcoa_5663514,Medline_29088268,Patent_US20150232517,Patent_EP2889382A1,Medline_8566765,Patent_US20160289746,Patent_EP3044337A2,Patent_US20150250865,Patent_US20160333056","Pmcoa_4102796,Pmcoa_4873128"
"790","3-APCT","RAD51","LYME DISEASE","Pmcoa_5663514,Medline_29088268,Patent_US20150232517,Patent_EP2889382A1,Medline_8566765,Patent_US20160289746,Patent_EP3044337A2,Patent_US20150250865,Patent_US20160333056","Medline_24413181,Pmcoa_4984868"
"791","CHEMBL3544911","RAD51","LYME DISEASE","Pmcoa_5663514,Medline_29088268,Patent_US20150232517,Patent_EP2889382A1,Medline_8566765,Patent_US20160289746,Patent_EP3044337A2,Patent_US20150250865,Patent_US20160333056","Pmcoa_5762302,Medline_29340034"
"792","D-TREITOL","RAD51","LYME DISEASE","Pmcoa_5663514,Medline_29088268,Patent_US20150232517,Patent_EP2889382A1,Medline_8566765,Patent_US20160289746,Patent_EP3044337A2,Patent_US20150250865,Patent_US20160333056","Patent_EP1874801A2,Patent_WO2009154828A2,Patent_WO2006096757A2"
"793","SPINDLE POISON","RAD51","LYME DISEASE","Pmcoa_5663514,Medline_29088268,Patent_US20150232517,Patent_EP2889382A1,Medline_8566765,Patent_US20160289746,Patent_EP3044337A2,Patent_US20150250865,Patent_US20160333056","Medline_9885240,Pmcoa_2148121"
"794","ZINC ACETATE","RAD51","LYME DISEASE","Pmcoa_5663514,Medline_29088268,Patent_US20150232517,Patent_EP2889382A1,Medline_8566765,Patent_US20160289746,Patent_EP3044337A2,Patent_US20150250865,Patent_US20160333056","Pmcoa_4072484,Pmcoa_5440055"
"795","MARIZOMIB","RAF1","CROHN'S DISEASE","Medline_16081798,Patent_EP2326317A1,Patent_EP2041078A2,Patent_US20100179225,Patent_US20140323576,Patent_US20070202515,Patent_US20110201686,Patent_WO2008002465A2,Patent_US9440914,Patent_WO2007047408A2,Patent_WO2010039429A1","Patent_EP1951226A2,Patent_WO2007056335A2"
"796","NEXAVAR","RAF1","CROHN'S DISEASE","Medline_16081798,Patent_EP2326317A1,Patent_EP2041078A2,Patent_US20100179225,Patent_US20140323576,Patent_US20070202515,Patent_US20110201686,Patent_WO2008002465A2,Patent_US9440914,Patent_WO2007047408A2,Patent_WO2010039429A1","Pmcoa_5655240,Pmcoa_3827598,Patent_US8765749,Patent_US20120271048"
"797","CHEMBL3545027","RAF1","CROHN'S DISEASE","Medline_16081798,Patent_EP2326317A1,Patent_EP2041078A2,Patent_US20100179225,Patent_US20140323576,Patent_US20070202515,Patent_US20110201686,Patent_WO2008002465A2,Patent_US9440914,Patent_WO2007047408A2,Patent_WO2010039429A1","Pmcoa_3078100,Pmcoa_4321613"
"798","ICRF 187","REG1A","CHRONIC ULCERATIVE COLITIS","Pmcoa_4225863,Medline_20065946,Patent_WO1998000561A1","Patent_EP0619735B1,Patent_US6265385"
"799","NISOXETINE","RICTOR","AGE RELATED OSTEOPOROSIS","Pmcoa_5133960,Pmcoa_5802487,Medline_27735936","Pmcoa_2882427,Pmcoa_3210466"
"800","APTIVUS","RTCA","CHRONIC ULCERATIVE COLITIS","Medline_21105858,Medline_16528486,Medline_21689341","Patent_US20050277738,Patent_US7294675,Patent_EP1672023A1"
"801","GLUTARATE","RTN1","CROHN'S DISEASE","Pmcoa_4949558,Pmcoa_2976079","Patent_US7309615,Patent_EP1946108B1,Patent_US7785904,Patent_EP1946108A2"
"802","TETRACAINE","RYR1","ARTHRITIS","Pmcoa_5605300,Pmcoa_4602262","Pmcoa_2217508,Pmcoa_2712967,Pmcoa_5093982,Medline_19398777,Pmcoa_4141859,Patent_US20160311760,Pmcoa_3596297"
"803","FEXOFENADINE HYDROCHLORIDE","SCGB1A1","SARCOIDOSIS","Medline_11193763,Medline_15297273,Medline_11028653,Pmcoa_1215520","Pmcoa_3643277,Medline_22830293"
"804","MEXILETINE","SCN9A","FIBROMYALGIA","Pmcoa_5741331,Patent_US20160221974,Patent_US20160046617,Patent_US20160130239,Patent_EP2968234A1,Patent_EP3043787A2,Patent_US9458118,Patent_WO2014151472A1,Medline_29343477","Pmcoa_4465899,Medline_29993143,Pmcoa_4209151,Patent_US20130115171A1,Patent_US20120185956A1,Medline_26068619"
"805","IBRITUMOMAB TIUXETAN","SCT","ANKYLOSING SPONDYLARTHRITIDES","Medline_22410749,Patent_WO2015163778A1","Pmcoa_3708100,Pmcoa_5374432,Medline_21258420"
"806","TENECTEPLASE","SERPINA5","ARTHRITIS","Patent_WO2015050703A1,Pmcoa_3239353,Patent_US20130273063,Patent_US9371567,Medline_21752263","Pmcoa_5097407,Medline_27133326,Pmcoa_2672445"
"807","MD 805","SERPINC1","SYSTEMIC LUPUS ERYTHEMATOSUS","Medline_6826782,Medline_6442639","Medline_2264021,Medline_1920862"
"808","PHENYLTHIOCARBAMIDE","SERPINF1","SCLERODERMA","Pmcoa_5867407,Medline_29259049","Patent_EP2273988A2,Patent_WO2009129497A2,Patent_US9173862,Patent_US9861600,Patent_US20110044908,Patent_US20160015665,Pmcoa_2553842"
"809","LM-609","SERPINF1","SCLERODERMA","Pmcoa_5867407,Medline_29259049","Pmcoa_4889158,Medline_27293373"
"810","ETHIODIZED OIL","SH2B2","ARTHRITIS","Medline_8406862,Medline_1834576,Patent_US6159460,Medline_1428123,Medline_8513508,Medline_9214434","Pmcoa_5021746,Pmcoa_5331418"
"811","TOYOCAMYCIN","SH2B2","ARTHRITIS","Medline_8406862,Medline_1834576,Patent_US6159460,Medline_1428123,Medline_8513508,Medline_9214434","Patent_EP1340587A2,Patent_EP1340587B1"
"812","DESOGESTREL","SHBG","AGE RELATED OSTEOPOROSIS","Medline_20452803,Pmcoa_4435629,Medline_27873076,Medline_22588185","Medline_2948387,Medline_8808163"
"813","GESTODENE","SHBG","AGE RELATED OSTEOPOROSIS","Medline_20452803,Pmcoa_4435629,Medline_27873076,Medline_22588185","Medline_1424621,Medline_8147246,Medline_7813219,Medline_8808163,Pmcoa_5721684"
"814","D-THYROXINE","SHBG","AGE RELATED OSTEOPOROSIS","Medline_20452803,Pmcoa_4435629,Medline_27873076,Medline_22588185","Patent_US20110136911,Patent_WO2009085180A1"
"815","ENHANCE","SIGIRR","SYSTEMIC LUPUS ERYTHEMATOSUS","Pmcoa_3430643,Medline_20112371","Pmcoa_5089214,Patent_US20170106007"
"816","MESOL","SIGLEC1","SCLERODERMA","Pmcoa_5331713,Medline_17328080","Patent_US9816197,Patent_US20140332393"
"817","DARLEUKIN","SIK3","ARTHRITIS","Pmcoa_1860067,Pmcoa_3978877,Pmcoa_3226451","Pmcoa_5618300,Medline_20797845"
"818","PJ 34","SIRT6","AGE RELATED OSTEOPOROSIS","Pmcoa_5578964,Pmcoa_4932771","Pmcoa_5948241,Medline_28698968"
"819","ELOTUZUMAB","SLAMF1","SYSTEMIC LUPUS ERYTHEMATOSUS","Medline_25920347,Medline_20810499","Medline_27695618,Medline_27785050,Pmcoa_5063562"
"820","(+)-|A-METHYLDOPA","SLC3A2","CHRONIC ULCERATIVE COLITIS","Medline_27924161,Pmcoa_5135446","Patent_US20050201931,Patent_US20090148884,Patent_WO2005074996A2,Patent_US7462459"
"821","TENAPANOR","SLC9A3","CHRONIC ULCERATIVE COLITIS","Pmcoa_5114807,Medline_20027604","Medline_26197202,Medline_29363027,Pmcoa_5856883,Patent_US20170340623,Medline_25861604,Patent_US20170368004,Medline_28495802,Pmcoa_5582369,Medline_28432691"
"822","CANFOSFAMIDE HYDROCHLORIDE","SLCO6A1","CROHN'S DISEASE","Pmcoa_4256300,Pmcoa_3295784","Medline_17409954,Patent_US20040166503,Patent_WO2002090564A1"
"823","PRAZIQUANTEL","SLCO6A1","CROHN'S DISEASE","Pmcoa_4256300,Pmcoa_3295784","Pmcoa_4014416,Medline_10395862,Pmcoa_3621891"
"824","CHEMBL3545280","SMAD2","SCLERODERMA","Pmcoa_3446527,Pmcoa_4566861,Patent_WO2010088778A1,Patent_US20120079614,Patent_WO2017019454A2","Medline_24698130,Pmcoa_4317891"
"825","BENTIROMIDE","SMAD3","SCLERODERMA","Medline_15215176,Pmcoa_4521372,Pmcoa_3446527,Pmcoa_4566861,Medline_16319104,Medline_21377836,Medline_16675963,Medline_15855645,Pmcoa_4803820,Patent_US20120079614,Pmcoa_5082497,Patent_WO2010088778A1,Patent_US7582609,Patent_US20070207965,Medline_24959869","Patent_US20170190778,Patent_WO2015183943A2"
"826","FRAGMENT 12","SPINK1","CROHN'S DISEASE","Medline_17301649,Medline_23425104,Medline_8378739","Patent_US5770403,Patent_US5597710,Patent_WO1993017106A1,Patent_US5863537,Patent_US5705154"
"827","ITRACONAZOLE ORAL SOLUTION","SPINK1","CROHN'S DISEASE","Medline_17301649,Medline_23425104,Medline_8378739","Patent_US20070274908,Patent_US20120178903,Patent_US8470528,Patent_EP2009990B1,Patent_US9827327,Patent_US20100254896"
"828","PD150606","SQSTM1","BONE PAGET DISEASE","Patent_US20050042611,Patent_EP1414960B1,Patent_US7479368,Pmcoa_4006681,Medline_23117207,Patent_WO2003012134A2,Patent_WO2014114791A1,Medline_29555685,Medline_25241215,Pmcoa_4803799,Medline_23658060,Medline_11992264,Patent_EP3146073A1,Medline_15176995,Medline_15207768,Medline_19257822,Medline_20855225,Medline_20971078,Patent_US8163896,Medline_18984666,Medline_19589897,Medline_18543015,Patent_US20130096178,Medline_14584883,Patent_US20170130272,Medline_19049332,Pmcoa_2833646,Pmcoa_4782024,Pmcoa_2442429,Patent_WO2011128646A2,Patent_EP2558593A2,Pmcoa_1297578,Patent_WO2015177744A1,Medline_17129171,Patent_EP2429522A2,Patent_WO2010132390A2,Pmcoa_4635325,Patent_US20100298348,Medline_17229006,Medline_22172040,Medline_15647816,Medline_16932700,Medline_16691492,Medline_15493999,Medline_24042580,Medline_12374763,Medline_17907922,Pmcoa_5431917,Pmcoa_3407648","Pmcoa_3975656,Medline_24553345"
"829","AMINO GUANIDINE","ST3GAL4","AGE RELATED OSTEOPOROSIS","Pmcoa_4771119,Pmcoa_5833190","Medline_28374834,Pmcoa_5379182"
"830","5,6-DICHLORO-RIBOFURANOSYLBENZIMIDAZOLE","STEAP4","ARTHRITIS","Medline_22886597,Medline_27995997,Pmcoa_5171802","Patent_US20180369327A1,Pmcoa_6033867"
"831","BIOPTERIN","TBCA","ARTHRITIS","Pmcoa_4309564,Pmcoa_4624173,Pmcoa_4718022,Patent_WO2004070383A2,Patent_US20050002929,Patent_US7867475,Pmcoa_4831368,Pmcoa_2121144,Pmcoa_2658012,Medline_28057980,Patent_US20040219573,Pmcoa_4082847,Pmcoa_5183772,Pmcoa_3690261,Pmcoa_4217248,Pmcoa_4921641,Pmcoa_4002747,Pmcoa_5538698,Pmcoa_4982016,Pmcoa_2198969,Pmcoa_3994116,Medline_24241037,Medline_20099767,Medline_27418913,Medline_26728771,Medline_23052184,Medline_27857662,Medline_29274626,Patent_EP2029614B1,Medline_24955640,Medline_25386561,Medline_27671330,Medline_24878853,Medline_3257989,Patent_EP1742626A2,Patent_EP2331498B1,Patent_EP2183239A1,Patent_EP2331499B1,Patent_EP2349256A1,Patent_EP2379496A1,Patent_EP2649072A1,Patent_EP2029614A2,Patent_EP2379521B1,Patent_EP2331498A2,Patent_EP2183239B1,Patent_EP2331499A1,Patent_EP2349256B1,Patent_EP2379521A1,Patent_EP2379496B1,Patent_US20080027029,Patent_US20090264474,Patent_US20100093788,Patent_US20100048619,Patent_US20100160289,Patent_US20100048589,Patent_US20080287398,Patent_US20140243329,Patent_US20120053347,Patent_US20130040920,Patent_US20100292276,Patent_US20100160337,Patent_US20130237547,Patent_US20150196533,Patent_US20140100194,Patent_US20140128428,Patent_US4996194,Patent_US8558011,Patent_US20120184510,Patent_US20140088098,Patent_US20140315899,Patent_US20120149699,Patent_US20120136006,Patent_US20120190674,Patent_US8148422,Patent_US8153682,Patent_US8143259,Patent_US8324217,Patent_US8629281,Patent_US8653099,Patent_US9067935,Patent_US8748478,Patent_US9233947,Patent_US7897781,Patent_US9096521,Patent_US9090639,Patent_WO2010080397A1,Patent_WO2010080398A1,Patent_WO2005115370A2,Patent_US8436041,Patent_US8809327,Patent_US8217060,Patent_US8232409,Patent_US8618150,Patent_US8912234,Patent_WO2009012430A1,Patent_WO2010132247A1,Pmcoa_3849791,Patent_US9434711,Patent_WO2010021878A1,Patent_WO2012078994A1,Pmcoa_3316675,Pmcoa_3543361,Pmcoa_3922964,Patent_WO2010021882A2,Pmcoa_3193721,Pmcoa_2678995,Patent_WO2017098236A1,Pmcoa_4357970,Pmcoa_1175031,Patent_WO2008033894A2,Patent_WO2010045166A1,Pmcoa_3835890,Pmcoa_3336857,Pmcoa_3472237,Pmcoa_4718045,Pmcoa_3823018,Pmcoa_3877999,Pmcoa_3137566,Pmcoa_3763645,Pmcoa_4002463,Pmcoa_4981835,Pmcoa_5884001,Pmcoa_2825258,Pmcoa_3202504,Pmcoa_3834430,Pmcoa_4930286,Pmcoa_4947834,Pmcoa_4175889,Pmcoa_4681046,Pmcoa_4693284,Pmcoa_3634005,Pmcoa_3509186,Pmcoa_4390336,Pmcoa_4599030,Pmcoa_4980935,Pmcoa_4863544,Pmcoa_4941798,Pmcoa_5264234,Pmcoa_3677619,Pmcoa_4271671,Pmcoa_4508365,Pmcoa_3736400,Pmcoa_3092582,Pmcoa_5429077,Pmcoa_5142378,Pmcoa_5585559,Pmcoa_4535358,Pmcoa_4825430,Pmcoa_5634739,Pmcoa_4566784,Pmcoa_5109000,Pmcoa_5311858,Pmcoa_5860693,Pmcoa_4872972,Pmcoa_5041393,Pmcoa_4895764,Pmcoa_5516381,Pmcoa_4012359,Pmcoa_4290027,Pmcoa_5859690,Pmcoa_5408901,Pmcoa_5535323,Pmcoa_5643734,Pmcoa_4989791,Pmcoa_5822925,Pmcoa_3978884","Patent_WO2007067263A2,Patent_EP1954832A2,Patent_US20070254288"
"832","ZALCITABINE","TCIRG1","ARTHRITIS","Medline_16542376,Medline_23097751","Patent_EP2546361B1,Patent_EP2546361A1,Patent_US20130017549,Patent_US8945844"
"833","CF102","TCIRG1","ARTHRITIS","Medline_16542376,Medline_23097751","Patent_US20110262456,Patent_US20110262456A1,Patent_US20060204502A1,Medline_29486164,Pmcoa_4618646,Patent_EP1515719A2,Patent_EP1827445A2,Patent_US20090203719A1,Pmcoa_5928336,Patent_US20090220516A1"
"834","D-CHIRO-INOSITOL","TCIRG1","ARTHRITIS","Medline_16542376,Medline_23097751","Patent_US20030130208,Patent_US6492341,Patent_US6825173"
